"SOURCE_SYSTEM","SOURCE_CONN","TABSCHEMA","TABNAME","COLNO","COLNAME","TYPENAME","LENGTH","SCALE","REMARKS","TAB_CATALOG","TAB_REMARKS","LIMITIERUNG"
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,32,KONTAKTAENDERBAR,SMALLINT,2,0,attribute KontaktAenderbar in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,33,INFO,VARCHAR,100,0,attribute Info in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,34,PFLICHTFELD,SMALLINT,2,0,attribute Pflichtfeld in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,35,INFOFENSTER,SMALLINT,2,0,attribute AnzeigeInfofenster in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,36,SUCHBAR,SMALLINT,2,0,attribute Suchbar in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,37,BLAETTERSPERREN,SMALLINT,2,0,attribute BlaetterSperren in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,38,MAXANZAHLBLAETTER,SMALLINT,2,0,attribute MaxAnzahlBlaetter in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,39,DUMMY,SMALLINT,2,0,attribute Dummy in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,40,AUFGABENDEF_ACTIVITYDEF_ID,BIGINT,8,0,foreign key; Cross Component Association (CCA): references table FE_ActivityDefinition (class framework.business.workflow.ActivityDefinitionModel),,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,41,STICHWORT_STICHWORT_ID,BIGINT,8,0,foreign key; references table PP_Stichwort (class partner.business.StichwortModel),,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,42,DCKEYREF_DCKEYREF_ID,BIGINT,8,0,foreign key; references table PP_DCKeyRef (class partner.business.DynamicContainerKeyReferenceModel),,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,26,BEHOERDENTYP,SMALLINT,2,0,attribute BehoerdenTypEingeschraenkt in class partner.business.DynamicContainerKeyModel; codetype kerntabellen.business.BehoerdeArtType,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,43,PANEL_DCKEY_ID,BIGINT,8,0,foreign key; references table PP_DCKey (class partner.business.DynamicContainerKeyModel),,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,44,REGISTER_DCKEY_ID,BIGINT,8,0,foreign key; references table PP_DCKey (class partner.business.DynamicContainerKeyModel),,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,45,VORBELEGTFOLGE,SMALLINT,2,0,attribute VorbelegtInFolgeimpuls in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,46,VORBELEGTKOPIE,SMALLINT,2,0,attribute VorbelegtInKopie in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,PP_PARTNERDCKEY,47,GELOESCHT,SMALLINT,2,0,attribute Geloescht in class partner.business.DynamicContainerKeyModel,,class partner.business.zusatzregister.PartnerDCKeyModel,
"21C",SBK21C,USR01537,LR_LEINSTITUTION,15,ZVKKONTO_ZVKONTO_ID,BIGINT,8,0,foreign key; Cross Component Association (CCA): references table ZE_ZahlungsverkehrKonto (class zahlungsverkehr.business.ZahlungsverkehrKontoModel),,class leistungserbringer.business.stammdaten.LeInstitutionModel,
"21C",SBK21C,USR01537,LE_DIAGNOSE,67,PRIMAERDIAG_DIAGNOSE_ID,BIGINT,8,0,foreign key; references table LE_Diagnose (class leistungen.business.DiagnoseModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,68,RANGDERWICHTIGKEIT,SMALLINT,2,0,attribute RangDerWichtigkeit in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,69,LMTUPB_LMTUPBUDGET_ID,BIGINT,8,0,foreign key; references table LE_LMTUPBUDGET (class leistungen.business.khpv.tupb.LMTraegeruebergrPersBudgetModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,70,ANTRAGTRUPB_ANTRAGTUPB_ID,BIGINT,8,0,foreign key; references table LE_ANTRAGTUPB (class leistungen.business.khpv.tupb.AntragTUPBModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,71,BETRIEBSST_LEINST_ID,BIGINT,8,0,foreign key; Cross Component Association (CCA): references table LR_LeInstitution (class leistungserbringer.business.stammdaten.LeInstitutionModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,72,ERSTERTAGMITBEHANDLUNG,DATE,4,0,attribute ErsterTagMitbehandlung in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,73,IDENTBETRIEBSSTAETTE,VARCHAR,9,0,attribute IdentBetriebsstaette in class leistungen.business.DiagnoseModel,,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_DIAGNOSE,74,AKUTBEHANDLUNG_AKUTBEH_ID,BIGINT,8,0,foreign key; references table LE_Akutbehandlung (class leistungen.business.sonstige.sonstigeleistung.AkutbehandlungModel),,class leistungen.business.DiagnoseModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,10,TEMPEMAIL,VARCHAR,200,0,attribute TempEmail in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,4,VALIDFROM,DATE,4,0,attribute ValidFrom in class framework.business.TemporalModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,5,VALIDTO,DATE,4,0,attribute ValidTo in class framework.business.TemporalModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,6,PWDCHANGEDAT,DATE,4,0,attribute PwdChangedAt in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,7,TEMPPWDCHANGED,SMALLINT,2,0,attribute TempPwdChanged in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,8,INITIALPWCHANGED,SMALLINT,2,0,attribute InitialPWChanged in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,9,TEMPPWDHASH,VARCHAR,200,0,attribute TempPwdHash in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,11,SALT,VARCHAR,50,0,attribute Salt in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,12,ALIAS,VARCHAR,50,0,attribute Alias in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,13,AKTIVIERCODE,VARCHAR,200,0,attribute Aktiviercode in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,14,AKTIVIERT,SMALLINT,2,0,attribute Aktiviert in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,15,NEWHASHALG,SMALLINT,2,0,attribute NewHashAlg in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,16,PASSWORTAKTHASHALG,SMALLINT,2,0,attribute PasswortAktHashAlg in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,17,CAREONID,VARCHAR,60,0,attribute CareOnId in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,18,SVNETID,VARCHAR,60,0,attribute SVNetId in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,19,REGISTRIERTAM,DATE,4,0,attribute RegistriertAm in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,20,LETZTEANMELDUNGAM,TIMESTAMP,10,6,attribute LetzteAnmeldungAm in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,21,ANZFEHLLOGINS,INTEGER,4,0,attribute AnzFehlLogins in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,22,ANZANFKVKARTEN,INTEGER,4,0,attribute AnzAnfKVKarten in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,23,PASSWORTKLAR,VARCHAR,60,0,attribute PasswortKlar in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,24,PASSWORTINITIAL,VARCHAR,200,0,attribute PasswortInitial in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,25,PASSWORT,VARCHAR,200,0,attribute Passwort in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,26,PASSWORTPRAEMIENSHOP,VARCHAR,200,0,attribute PasswortPraemienshop in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,27,PASSWORTPSKLAR,VARCHAR,60,0,attribute PasswortPSKlar in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,28,LETZTKTO,VARCHAR,10,0,attribute LetztKto in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,29,LETZTKREDITINST,VARCHAR,100,0,attribute LetztKreditinst in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,30,LETZTBLZ,VARCHAR,15,0,attribute LetztBLZ in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,39,PWDVALIDTO,DATE,4,0,attribute PwdValidTo in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,31,LETZTKONTOINH,VARCHAR,50,0,attribute LetztKontoinh in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,32,PWDANFORDERUNGDURCH,VARCHAR,16,0,attribute PasswortAnforderungDurch in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,33,PWDANFORDERUNGAM,TIMESTAMP,10,6,attribute PasswortAnforderungAm in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,34,ACCGESPERRTDURCH,VARCHAR,16,0,attribute AccountGesperrtDurch in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,35,REGISTRIERUNGART,SMALLINT,2,0,attribute RegistrierungArt in class crminternetfiliale.business.IFStammdatenModel; codetype kerntabellen.business.WebcenterRegistrierungArtType,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,36,PARTNER_PARTNER_ID,BIGINT,8,0,foreign key; Cross Component Association (CCA): references table PP_Partner (class partner.business.PartnerModel),,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,37,ZFAVORGESEHEN,SMALLINT,2,0,attribute ZFAVorgesehen in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,CW_IFSTAMMDATEN,38,PWDINITIALVALIDTO,DATE,4,0,attribute PwdInitialValidTo in class crminternetfiliale.business.IFStammdatenModel,,class crminternetfiliale.business.IFStammdatenModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,4,AUSSTELLUNGSDATUM,DATE,4,0,attribute Ausstellungsdatum in class leistungen.business.AbstractAntragModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,17,EILFALL,SMALLINT,2,0,attribute Eilfall in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,18,ENTSCHEIDUNGABLGRUNDKH,SMALLINT,2,0,attribute EntscheidungAblehnungGrundKH in class leistungen.business.khpv.kv.AntragKvModel; codetype kerntabellen.business.KHAblehnungGrundType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,19,ENTSCHANTRAGREHAVORSORGE,SMALLINT,2,0,attribute EntscheidungsstatusAntragRehaVorsorgeIntern in class leistungen.business.khpv.kv.AntragKvModel; codetype kerntabellen.business.EntscheidungAntragRehaVorsorgeType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,20,ENTSCHANTRREHAVORSERSTIN,SMALLINT,2,0,attribute EntscheidungsstatusAntragRehaVorsorgeErstinstanz in class leistungen.business.khpv.kv.AntragKvModel; codetype kerntabellen.business.EntscheidungAntragRehaVorsorgeType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,21,SONSTIGERERLEDIGUNGSGRUND,SMALLINT,2,0,attribute SonstigerErledigungsgrund in class leistungen.business.khpv.kv.AntragKvModel; codetype kerntabellen.business.SonstErledigungsgrundRehaVorsType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,22,KOSTENZUSAGEGUELTIGBIS,DATE,4,0,attribute KostenzusageGueltigBis in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,23,FACHABTEILUNGSBEZEICHNUNG,VARCHAR,160,0,attribute Fachabteilungsbezeichnung in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,24,FACHABTEILUNGSCODE,VARCHAR,4,0,attribute Fachabteilungscode in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,25,GEPLANTEROPTAG,DATE,4,0,attribute GeplanterOpTag in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,26,VERLAENGERUNGSNUMMER,SMALLINT,2,0,attribute VerlaengerungsNummer in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,27,VORHABEN,VARCHAR,320,0,attribute Vorhaben in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,28,ZUZAHLUNGBETRAG,DECIMAL,15,2,attribute ZuzahlungBetrag in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,29,ZUZAHLUNGSACHLAGE,SMALLINT,2,0,attribute ZuzahlungSachlage in class leistungen.business.khpv.kv.AntragKvModel; codetype kerntabellen.business.ZuzahlungSachlageType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,30,ZUZAHLUNGTAGE,SMALLINT,2,0,attribute ZuzahlungTage in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,31,ZWISCHENRECHNUNGERLAUBT,SMALLINT,2,0,attribute ZwischenrechnungErlaubt in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,32,BEANTRTP4BINDIKGRPZU,SMALLINT,2,0,attribute BeantragteTP4bIndikationsgruppenzuordnung in class leistungen.business.khpv.kv.AntragKvModel; codetype kerntabellen.business.TP4bSchlIndikationsGrpZuType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,33,BEWILLTP4BINDIKGRPZU,SMALLINT,2,0,attribute BewilligteTP4bIndikationsgruppenzuordnung in class leistungen.business.khpv.kv.AntragKvModel; codetype kerntabellen.business.TP4bSchlIndikationsGrpZuType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,5,EINGANGSDATUM,DATE,4,0,attribute Eingangsdatum in class leistungen.business.AbstractAntragModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,6,ENTSCHEIDUNGSERLAEUTERUNG,VARCHAR,1000,0,attribute Entscheidungserlaeuterung in class leistungen.business.AbstractAntragModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,7,ENTSCHEIDUNGSSTATUS,SMALLINT,2,0,attribute Entscheidungsstatus in class leistungen.business.AbstractAntragModel; codetype kerntabellen.business.EntscheidungType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,8,ENTSCHEIDUNGSDATUM,DATE,4,0,attribute Entscheidungsdatum in class leistungen.business.AbstractAntragModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,9,FREIGABESTATUS,SMALLINT,2,0,attribute Freigabestatus in class leistungen.business.AbstractAntragModel; codetype kerntabellen.business.StatusBestandteilType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,10,PERSISTZ,SMALLINT,2,0,attribute PersistentErledigt in class leistungen.business.AbstractAntragModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,11,PRSTNTENTSCH,SMALLINT,2,0,attribute PersistentEntschieden in class leistungen.business.AbstractAntragModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,12,PRSTNTFREIGN,SMALLINT,2,0,attribute PersistentFreigegeben in class leistungen.business.AbstractAntragModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,13,FRISTPAR13ABS3A,SMALLINT,2,0,attribute FristPar13Abs3a in class leistungen.business.AbstractAntragKhPvSLModel; codetype kerntabellen.business.Par13Abs3aFristenType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,14,FRISTENDEPAR13ABS3A,DATE,4,0,attribute FristendePar13Abs3a in class leistungen.business.AbstractAntragKhPvSLModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,15,BESCHEIDAMPAR13ABS3A,DATE,4,0,attribute BescheidAmPar13Abs3a in class leistungen.business.AbstractAntragKhPvSLModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,16,FRISTUEBERSCHRPAR13ABS3A,SMALLINT,2,0,attribute FristueberschreitungPar13Abs3a in class leistungen.business.AbstractAntragKhPvSLModel; codetype kerntabellen.business.Par13Abs3aFristueberschreitungType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,50,TP4BINFOEING_TP4BINFO_ID,BIGINT,8,0,foreign key; references table LE_TP4bDatenaustauschInfo (class leistungen.business.tpverfahren.tp4b.TP4bDatenaustauschInfoModel),,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,51,ENTSCHEIDUNGSDATUMERSTIN,DATE,4,0,attribute EntscheidungsdatumErstinstanz in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,52,ANZEIGEPHASENWECHSELVERL,SMALLINT,2,0,attribute AenderungsanzeigePhasenwechselVerlaengerung in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,53,DATUMPHASENWECHSELVERL,DATE,4,0,attribute AenderungsdatumPhasenwechselVerlaengerung in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,54,IMPORT_IMPDATAMDL_ID,BIGINT,8,0,foreign key; references table LE_ImportDatensatz (class leistungen.business.tpverfahren.ImportDatensatzModel),,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,55,UNTERLAGENEINGANGAM,DATE,4,0,attribute UnterlagenEingangAm in class leistungen.business.AbstractAntragKhPvSLModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,56,KDLDSPZURBEW_KOMMDATEN_ID,BIGINT,8,0,foreign key; references table LE_Kommunikationsdaten (class leistungen.business.KommunikationsdatenModel),,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,57,KDMITTZURBEW_KOMMDATEN_ID,BIGINT,8,0,foreign key; references table LE_Kommunikationsdaten (class leistungen.business.KommunikationsdatenModel),,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,34,TP4BVERFAHRENSART,SMALLINT,2,0,attribute TP4bVerfahrensart in class leistungen.business.khpv.kv.AntragKvModel; codetype kerntabellen.business.TP4bSchlVerfahrensartType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,35,TP4BZUZAHLUNGSEINZUG,SMALLINT,2,0,attribute TP4bZuzahlungseinzug in class leistungen.business.khpv.kv.AntragKvModel; codetype kerntabellen.business.TP4bZuzahlungseinzugType,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,36,AUFNAHMEFRUEHESTENSAM,DATE,4,0,attribute AufnahmeFruehestensAm in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,37,AHBAUFNAHMEERFOLGT,SMALLINT,2,0,attribute AHBAufnahmeErfolgt in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,38,ENTLASSUNGKHVORAHB,DATE,4,0,attribute EntlassungKHVorAHB in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,39,PAPIERANLAGEANTRAG,SMALLINT,2,0,attribute PapieranlageAntrag in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
"21C",SBK21C,USR01537,LE_ANTRAGKV,40,PAPIERANLAGEENTSCHEIDUNG,SMALLINT,2,0,attribute PapieranlageEntscheidung in class leistungen.business.khpv.kv.AntragKvModel,,class leistungen.business.khpv.kv.AntragKvModel,
